"","Protein.Group","Protein.Ids","Protein.Names","Genes","First.Protein.Description","peptide.length","start","intensity_0nM_R1","intensity_0nM_R2","intensity_0nM_R3","intensity_0nM_R4","intensity_02nM_R1","intensity_02nM_R2","intensity_02nM_R3","intensity_02nM_R4","intensity_2nM_R1","intensity_2nM_R2","intensity_2nM_R3","intensity_2nM_R4","intensity_2uM_R1","intensity_2uM_R2","intensity_2uM_R3","intensity_2uM_R4","intensity_20nM_R1","intensity_20nM_R2","intensity_20nM_R3","intensity_20nM_R4","intensity_20uM_R1","intensity_20uM_R2","intensity_20uM_R3","intensity_20uM_R4","intensity_100uM_R1","intensity_100uM_R2","intensity_100uM_R3","intensity_100uM_R4","intensity_200nM_R1","intensity_200nM_R2","intensity_200nM_R3","intensity_200nM_R4","quantified.in.rep1.?","quantified.in.rep2.?","quantified.in.rep3.?","quantified.in.rep4.?","Nr.of.replicates.(quantified)","stabilized.in.rep1.?","stabilized.in.rep2.?","stabilized.in.rep3.?","stabilized.in.rep4.?","Nr.of.replicates.(stabilized)","destabilized.in.rep1.?","destabilized.in.rep2.?","destabilized.in.rep3.?","destabilized.in.rep4.?","Nr.of.replicates.(destabilized)","regulation","pEC50_rep1","R2_rep1","lower_rep1","upper_rep1","Ratio_0nM_0nM_R1","Ratio_02nM_0nM_R1","Ratio_2nM_0nM_R1","Ratio_20nM_0nM_R1","Ratio_200nM_0nM_R1","Ratio_2uM_0nM_R1","Ratio_20uM_0nM_R1","Ratio_100uM_0nM_R1","pEC50_rep2","R2_rep2","lower_rep2","upper_rep2","Ratio_0nM_0nM_R2","Ratio_02nM_0nM_R2","Ratio_2nM_0nM_R2","Ratio_20nM_0nM_R2","Ratio_200nM_0nM_R2","Ratio_2uM_0nM_R2","Ratio_20uM_0nM_R2","Ratio_100uM_0nM_R2","pEC50_rep3","R2_rep3","lower_rep3","upper_rep3","Ratio_0nM_0nM_R3","Ratio_02nM_0nM_R3","Ratio_2nM_0nM_R3","Ratio_20nM_0nM_R3","Ratio_200nM_0nM_R3","Ratio_2uM_0nM_R3","Ratio_20uM_0nM_R3","Ratio_100uM_0nM_R3","pEC50_rep4","R2_rep4","lower_rep4","upper_rep4","Ratio_0nM_0nM_R4","Ratio_02nM_0nM_R4","Ratio_2nM_0nM_R4","Ratio_20nM_0nM_R4","Ratio_200nM_0nM_R4","Ratio_2uM_0nM_R4","Ratio_20uM_0nM_R4","Ratio_100uM_0nM_R4","CV_pEC50","mean_pEC50","is.kinase","end","Protein.kinase","domain","location","D_start","D_end","D_start2","D_end2","in.domain"
"67","Q9P289","Q9P289;Q9Y6E0","STK26_HUMAN","STK26","Serine/threonine-protein kinase 26",13,127,229078,212612,224917,231857,225261,231331,191164,227529,231316,202267,206432,207209,92841.2,144336,121418,124344,228841,188603,234548,226482,102265,101209,91850,62863.4,72191.1,81113.4,32668,65554.8,208604,211643,168315,232730,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.3336,0.9867,0.380221180547525,0.998227584964777,1,0.983337553147836,1.00976959812815,0.998965417892596,0.910624328831228,0.405282043670715,0.446419996682353,0.315137638708213,5.7055,0.9477,0.403380251016593,0.991029369589077,1,1.08804300792053,0.951343292006096,0.887075988185051,0.995442402122176,0.678870430643614,0.476026752958441,0.381509039941301,5.1433,0.9344,-0.0604962857815858,0.962985531853803,1,0.849931307993615,0.917814126989067,1.04282024035533,0.748342721981887,0.539834694576221,0.408372866435174,0.145244690263519,5.746,0.9891,0.276928066480664,0.971125278706159,1,0.981333321831991,0.893693095313059,0.976817607404564,1.00376525185783,0.536296079048724,0.271130049987708,0.282738066998193,0.0848335564090432,5.7321,"yes",139,"Protein kinase","domain","24-274;",24,274,NA,NA,"yes"
"68","P53350","P53350","PLK1_HUMAN","PLK1","Serine/threonine-protein kinase PLK1",10,39,502153,478526,505429,447858,537479,488045,466259,476950,509172,457277,491280,468110,301269,268847,243243,268960,437708,476123,475328,461683,0,205840,196940,179525,157411,183630,136343,175349,427240,471562,420044,372099,0,1,1,1,3,0,1,1,1,"3",0,0,0,0,"0","stabilized",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9021,0.9942,0.406003565726411,0.993326935162687,1,1.01989233604862,0.95559488930591,0.994978329286183,0.985446976757794,0.561823182021458,0.430154265389968,0.383740904360474,6.1075,0.9865,0.304007212299091,0.966258163791313,1,0.922501478941652,0.972005959293986,0.940444651968921,0.831064303789454,0.481260473775743,0.389649189104701,0.269756978725004,6.1458,0.9918,0.366575928024592,1.04486296157254,1,1.06495808939441,1.04521969016965,1.03086915942107,0.830841472073738,0.600547494964922,0.400852502355657,0.391528118287493,0.0216548325083212,6.0518,"yes",48,"Protein kinase","domain","53-305;",53,305,NA,NA,"near"
"69","P05771","P05771","KPCB_HUMAN","PRKCB","Protein kinase C beta type",9,612,1130000,1310000,1410000,1420000,1050000,1260000,1160000,1440000,1410000,1300000,1290000,1410000,51768.1,110938,92238.8,96341.9,723457,1190000,1400000,1420000,26330.1,43466.8,0,50568.8,45227.5,58692,64445.7,73383,261346,267753,283974,273417,1,1,0,1,3,1,1,0,1,"3",0,0,0,0,"0","stabilized",7.4813,0.9537,0.0513986557605644,1.05815972581254,1,0.929203539823009,1.24778761061947,0.640227433628319,0.231279646017699,0.0458124778761062,0.0233009734513274,0.0400243362831858,7.1039,0.9986,0.0527753053521158,0.985482814671785,1,0.961832061068702,0.99236641221374,0.908396946564885,0.204391603053435,0.0846854961832061,0.0331807633587786,0.0448030534351145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9323,0.9996,0.0516667770548423,1.0025162370946,1,1.01408450704225,0.992957746478873,1,0.192547183098592,0.0678464084507042,0.0356118309859155,0.0516781690140845,0.0391572445350782,7.1725,"yes",620,"Protein kinase","domain","342-600;",342,600,NA,NA,"no"
"70","P53350","P53350","PLK1_HUMAN","PLK1","Serine/threonine-protein kinase PLK1",11,96,722413.6,621198,663904,474813,652628,617333.1,543578.6,363806,593160.1,652317.3,599504.7,342250.9,270443,439826.2,256371,136121.7,597926.9,549555.2,385579.8,178144.2,244569.1,215576.5,169306.1,24612.1,167692.7,170358.3,17475.5,61555.3,583886.9,561871.2,506313.5,274169.2,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.1791,0.9582,0.280127332181103,0.890685189787702,1,0.903399382292914,0.821081026160083,0.827679462291408,0.808244612227677,0.374360338731165,0.338544429396124,0.232128381857706,5.4062,0.9788,0.186496882507451,0.990059599544891,1,0.993778312228951,1.05009562168584,0.884669944204585,0.904496150985676,0.708029002025119,0.347033474029215,0.274241546173684,5.1762,0.9162,-0.343516179619158,0.960765659673815,1,0.818760844941437,0.902999078179978,0.580776437557237,0.762630591169808,0.386156733503639,0.255015936038945,0.0263223297344194,6.5569,0.9064,-0.211543214760228,1.0013079244975,1,0.766209012811359,0.720811982822711,0.375188126694088,0.577425639146359,0.28668486330408,0.0518353541288886,0.129641142934166,0.111051033787174,5.8296,"yes",106,"Protein kinase","domain","53-305;",53,305,NA,NA,"yes"
"71","P42680","P42680","TEC_HUMAN","TEC","Tyrosine-protein kinase Tec",11,375,361656,393760,383752,401229,382762,389422,374401,374638,374890,371398,355562,359327,328913,341667,326180,363457,356950,376905,341232,391070,187693,0,187220,194938,151562,130419,121028,122887,362408,350843,385686,399709,1,0,1,1,3,1,0,1,1,"3",0,0,0,0,"0","stabilized",5.1822,0.9924,0.399805108521484,1.01859279773711,1,1.05835932488331,1.03659278430332,0.986987634658349,1.0020793239985,0.909463689251665,0.5189821266618,0.419077797686199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0055,0.9769,0.268389279610082,0.959555000039277,1,0.975632700285601,0.926541099460068,0.889199274531468,1.00503971314807,0.849976026183577,0.487867164210219,0.31538076674519,4.948,0.9834,0.279421821253674,0.959841242834365,1,0.933726126476401,0.895565873852588,0.974680294794245,0.996211639736908,0.905859247462173,0.485852219056948,0.306276465559568,0.0241913625163942,5.04523333333333,"yes",385,"Protein kinase","domain","370-623;",370,623,NA,NA,"yes"
"72","Q13177","Q13177;O75914","PAK2_HUMAN","PAK2","Serine/threonine-protein kinase PAK 2",9,493,2210000,2240000,2430000,2200000,2070000,2260000,2390000,2140000,2250000,2400000,2320000,1950000,672163,505798,551951,570320,2430000,2350000,2240000,2160000,493199,402938,477485,398186,473828,414130,423836,381569,1390000,1410000,1310000,1250000,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.6997,0.9821,0.247292808483169,1.01357455777441,1,0.936651583710407,1.01809954751131,1.09954751131222,0.6289592760181,0.304146153846154,0.223166968325792,0.214401809954751,6.6791,0.9963,0.192589270587234,1.03453071352498,1,1.00892857142857,1.07142857142857,1.04910714285714,0.629464285714286,0.225802678571429,0.179883035714286,0.184879464285714,6.7808,0.999,0.183366282979196,0.982584597853625,1,0.983539094650206,0.954732510288066,0.921810699588477,0.539094650205761,0.227140329218107,0.196495884773663,0.174418106995885,6.7002,0.9885,0.193350179739277,0.966004101134198,1,0.972727272727273,0.886363636363636,0.981818181818182,0.568181818181818,0.259236363636364,0.180993636363636,0.173440454545455,0.00669957252140872,6.71495,"yes",501,"Protein kinase","domain","249-499;",249,499,NA,NA,"yes"
"73","P24941","P24941","CDK2_HUMAN","CDK2","Cyclin-dependent kinase 2",9,57,391877,398894,368538,400013,427015,415475,410652,403588,394364,400574,375385,366808,53804,54632.4,54051.6,59728.7,293282,370345,397755,381979,26231.3,9678.39,14612,13297.4,18753.7,16309.4,19367.3,11638.4,92319.7,177122,187961,179500,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",7.3562,0.9952,0.0744742581455708,1.04636244810133,1,1.08966589006244,1.00634637909344,0.748403197942211,0.235583359064196,0.13729818284819,0.0669375850075406,0.0478560874968421,6.8274,0.998,0.0404185936748641,1.02339294856959,1,1.04156743395489,1.00421164519898,0.928429607865749,0.444032750555285,0.136959693552673,0.024263062367446,0.0408865513143843,6.7478,0.9909,0.074272624573436,1.05709182440182,1,1.11427315500708,1.01857881683843,1.07927812057373,0.510017962869501,0.146664930075053,0.0396485572722487,0.052551704301863,6.777,0.9927,0.0479839217949285,0.98834867683876,1,1.00893720954069,0.916990197818571,0.95491646521488,0.448735416098977,0.149316897200841,0.0332424196213623,0.0290950544107316,0.041568604451806,6.9271,"yes",65,"Protein kinase","domain","4-286;",4,286,NA,NA,"yes"
"74","P06493","P06493","CDK1_HUMAN","CDK1","Cyclin-dependent kinase 1",19,57,671864,732274,832054,698105,663774,741088,711989,776894,705391,768221,803880,692461,355155.3,374976.3,502099,434996.6,690719,779530,798770,732070,359528.1,405372.7,414454.4,402117.5,344029.8,322283.7,338522.8,308210.2,553718,679352,678403,722515,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.6449,0.9937,0.525187525216248,1.01650120892525,1,0.987958872628984,1.04990146815427,1.02806371527571,0.824151911696415,0.528611891692366,0.535120351737852,0.512052736863413,6.4184,0.9816,0.497416883039289,1.03149456275475,1,1.01203647814889,1.04908954844771,1.06453322117131,0.927729237962839,0.512071028057803,0.553580626923802,0.440113536736249,6.0148,0.9597,0.415654907731587,0.951120814288597,1,0.855700471363637,0.966139216925824,0.959997788605066,0.815335302756792,0.603445209084987,0.498109978438899,0.406851959127653,5.9414,0.9618,0.507916085592977,1.03959567857402,1,1.11286124580113,0.991915256300986,1.0486531395707,1.03496608676345,0.623110563597167,0.576012920692446,0.441495477041419,0.0534058883834207,6.254875,"yes",75,"Protein kinase","domain","4-287;",4,287,NA,NA,"yes"
"75","P16591","P16591","FER_HUMAN","FER","Tyrosine-protein kinase Fer",7,813,122595,101468,92021.2,101877,108581,121456,112106,104834,119961,116060,88084,109092,68155.5,68470.3,51511.9,53153.5,107649,106957,108654,102744,37834.3,72823.4,52828.4,51522.8,60567.4,64225.8,65378.8,57472.5,79814.7,75715.8,53452.5,51323.2,1,1,1,1,4,1,1,0,1,"3",0,0,0,0,"0","stabilized",6.7357,0.9264,0.410485207242569,0.96287895987065,1,0.885688649618663,0.978514621314083,0.878086381989478,0.65104368041111,0.555940291202741,0.308612096741303,0.494044618459154,7.1635,0.932,0.674608524875181,1.11347319280329,1,1.19698821303268,1.14380888555998,1.05409587259037,0.746203729254543,0.674796980328774,0.717698190562542,0.632966058264675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4647,0.9904,0.523839902204311,1.03328978991978,1,1.02902519705135,1.07082069554463,1.00851026237522,0.503776122186558,0.52174190445341,0.50573534752692,0.564136164198003,0.0514411074299485,7.1213,"yes",819,"Protein kinase","domain","563-816;",563,816,NA,NA,"yes"
"76","P49841","P49840;P49841","GSK3B_HUMAN","GSK3B","Glycogen synthase kinase-3 beta",10,283,155126.6,158547.1,139447.9,144540.8,160746.3,115673.8,156993.5,108632.7,167745.1,151544.7,120843.4,140164.6,3957.81,22002.4,6163.91,6566.48,138127.4,139479.1,133835.3,135962.6,0,21264.06,15492.5,8921.45,14042.9,3782.63,2168.12,4145.78,33800.9,41304.18,50698.5,40172.61,0,1,1,1,3,0,1,1,1,"3",0,0,0,0,"0","stabilized",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9643,0.958,0.0983247536674006,0.895796806076841,1,0.729586350049922,0.955833944613304,0.879732899561077,0.260516780187086,0.13877516523481,0.134118252557127,0.0238580838123182,6.8877,0.9755,0.0538999254104904,0.998411210460999,1,1.12582190194331,0.866584581051418,0.959751276283114,0.363565890916966,0.044202243275087,0.111098840498853,0.0155478856261012,6.7941,0.9727,0.0457127768429859,0.915488525819614,1,0.75157118266953,0.969723427572007,0.940652051185548,0.277932666762603,0.0454299408886626,0.0617227108193673,0.0286824204653634,0.0123860752516718,6.88203333333333,"yes",292,"Protein kinase","domain","56-340;",56,340,NA,NA,"yes"
"77","P49841","P49840;P49841","GSK3B_HUMAN","GSK3B","Glycogen synthase kinase-3 beta",15,283,797075,979500,917471,992498,862563,889815,893011,887137,912219,836418,1028163,765156,199939,66124.4,110224.3,174900.7,860850,837349,808518,892631,107409.1,126007.7,137631.1,132747.4,96054.2,141479.8,101138,165036.8,434800,405782,429590,413107,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.7803,0.9868,0.157557696068123,1.0859746414233,1,1.08216039895869,1.14445817520309,1.08001129128376,0.545494464134492,0.250840886993068,0.134754069566854,0.120508358686447,6.8641,0.9856,0.109887523302058,0.917298244070896,1,0.90843797856049,0.853923430321593,0.854873915262889,0.414274629913221,0.0675083205717203,0.128644920877999,0.144440837161817,6.913,0.9865,0.114452707902835,1.02662159109234,1,0.973339756787953,1.12064904503794,0.881246382719454,0.468232783379529,0.120139274156894,0.150011390005788,0.110235636875716,6.7738,0.9718,0.158709066403414,0.891129577179884,1,0.893842607239511,0.770939588795141,0.899378134767022,0.416229554114971,0.176222722866948,0.133750798490274,0.166284264552674,0.00987167303614921,6.8328,"yes",297,"Protein kinase","domain","56-340;",56,340,NA,NA,"yes"
"78","P05771","P05771","KPCB_HUMAN","PRKCB","Protein kinase C beta type",10,490,4820000,6020000,5890000,5890000,4830000,5560000,5820000,6020000,4760000,5280000,5690000,5970000,280588,281954,391776,365091,4690000,4920000,5790000,5600000,135776,120839,160219,172227,159850,109227,143756,158218,957161,1e+06,1230000,1190000,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",7.0061,0.9996,0.039434671612168,0.996852926619018,1,1.00207468879668,0.987551867219917,0.973029045643154,0.19858112033195,0.0582132780082988,0.0281692946058091,0.0331639004149378,7.175,0.9947,0.0258343769141441,0.936419693818596,1,0.92358803986711,0.877076411960133,0.817275747508306,0.166112956810631,0.0468362126245847,0.0200729235880399,0.0181440199335548,6.9125,0.999,0.0392712268581239,0.98516030332209,1,0.98811544991511,0.966044142614601,0.9830220713073,0.208828522920204,0.0665154499151104,0.0272018675721562,0.0244067911714771,7.0718,0.9995,0.0382020742646799,1.0124541245253,1,1.02207130730051,1.01358234295416,0.950764006791171,0.202037351443124,0.0619848896434635,0.0292405772495756,0.0268621392190153,0.0156937973860275,7.04135,"yes",499,"Protein kinase","domain","342-600;",342,600,NA,NA,"yes"
"79","P41240","P41240","CSK_HUMAN","CSK","Tyrosine-protein kinase CSK",7,438,270175,231950,234166,224953,249335,205804,195491,213249,237511,218725,227086,202810,119341,118911,115163,113344,222199,223844,222010,220506,81388.5,73173.3,80003.2,87156.1,74156.4,64569.1,61357.2,77041.6,201288,195833,199613,169163,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.1868,0.9845,0.209359190684095,0.949228052736708,1,0.92286480984547,0.879100582955492,0.822426205237346,0.745028222448413,0.441717405385398,0.30124363838253,0.274475432589988,5.963,0.9886,0.276680299792675,0.950940223396388,1,0.887277430480707,0.942983401595171,0.965052813106273,0.844289717611554,0.512657900409571,0.315470144427678,0.278375080836387,5.984,0.9718,0.285052171371444,0.940756652221329,1,0.834839387443096,0.969765038476978,0.948088108435896,0.852442284533194,0.491800688400536,0.341651648830317,0.262024375870109,6.2965,0.9842,0.349185118551784,0.965074768149166,1,0.947971354016172,0.901566104919694,0.980231426120123,0.751992638462257,0.503856361106542,0.387441376643121,0.342478651096007,0.0264248624207227,6.107575,"yes",444,"Protein kinase","domain","195-449;",195,449,NA,NA,"yes"
"80","P31749","Q9Y243;P31749","AKT1_HUMAN","AKT1","RAC-alpha serine/threonine-protein kinase",8,242,103108,99847.8,94681.2,103758,61821.6,79583.6,98406.6,72824.2,67126,99908,99988.3,103011,82168.9,57693.7,96815.9,89019.2,86869.8,80123.5,82232.2,92584.7,40438.6,29250.6,27437.1,35429,20628.6,27460.7,27798,14506.5,81393.7,91259.3,89548.5,88849.9,1,1,1,1,4,0,1,1,1,"3",0,0,0,0,"0","stabilized",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7123,0.9332,0.283830729367279,0.902888357335319,1,0.797049108743508,1.00060291764065,0.802456338547269,0.913984083775506,0.57781643661653,0.292951872750326,0.275025588946376,5.1585,0.9673,0.291587530816987,0.988716483497616,1,1.03934677633997,1.05605231027913,0.86851666434308,0.945789660460577,1.02254618657136,0.289784033155473,0.293595771916706,4.927,0.9155,0.122232966928621,0.889162605751925,1,0.701865880221284,0.992800555137917,0.892313845679369,0.856318548931167,0.857950230343684,0.34145800805721,0.139810906146996,0.0766288790632496,5.26593333333333,"yes",249,"Protein kinase","domain","150-408;",150,408,NA,NA,"yes"
"81","P31751","P31751","AKT2_HUMAN","AKT2","RAC-beta serine/threonine-protein kinase",8,244,185835,200132,187526,183907,185472,185312,180854,179048,189456,176998,171494,162692,99446.5,103925,114272,127752,172665,173366,183214,190538,41451.9,63566.3,61119.9,42963.9,41080.2,36482.8,23522.7,16350.6,187286,180040,192356,186498,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",5.7344,0.9944,0.222021639811668,0.990898861614187,1,0.998046654290096,1.01948502704012,0.929130680442328,1.00780800172196,0.53513331718998,0.223057551053354,0.221057389619824,5.7503,0.9758,0.205661072240571,0.929605840224837,1,0.925948873743329,0.884406291847381,0.866258269542102,0.899606259868487,0.519282273699358,0.317621869566086,0.18229368616713,5.4722,0.9734,0.133262751846716,0.982359121860593,1,0.964420933630537,0.914507854910786,0.977005855188081,1.02575642844192,0.609366167891386,0.325927604705481,0.125437006068492,5.3685,0.9823,0.0766710702677785,0.985270818137093,1,0.973579037230774,0.884642781405819,1.03605626757002,1.01408864262915,0.694655450852877,0.23361753494973,0.0889068931579548,0.0341811034842585,5.58135,"yes",251,"Protein kinase","domain","152-409;",152,409,NA,NA,"yes"
"82","P51812","P51812","KS6A3_HUMAN","RPS6KA3","Ribosomal protein S6 kinase alpha-3",8,217,185607,198754,191119,187330,214502,197202,194069,183927,196775,188038,163733,199482,102848,96191.1,103093,102590,191812,193365,173670,175547,101638,80727.2,98890,101053,93233,87829,93161.8,93210.4,154035,146961,142975,143344,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.6146,0.9727,0.519489243539782,1.07053220123096,1,1.15567839575016,1.06017014444498,1.03343085120712,0.829898656839451,0.554117032224,0.547597881545416,0.502314029104506,6.5912,0.9943,0.425731043634274,0.984676871517963,1,0.992191352123731,0.946084103967719,0.972886080280145,0.739411533855922,0.48397063706894,0.406166416776518,0.441898024693843,6.682,0.9589,0.471813430563558,0.979865321979658,1,1.01543540935229,0.856707077789231,0.908700861766753,0.748094119370654,0.539417849612022,0.517426315541626,0.487454413218989,6.7178,0.9845,0.510449727892969,1.01241300156757,1,0.981834196338013,1.06486948166337,0.937100304275877,0.765195110233278,0.547643196498158,0.539438424171249,0.497573266428228,0.00881945789120559,6.6514,"yes",224,"Protein kinase","domain","68-327;422-679;",68,327,422,679,"yes"
"83","Q9Y4K4","Q9Y4K4","M4K5_HUMAN","MAP4K5","Mitogen-activated protein kinase kinase kinase kinase 5",12,123,56472.3,73860.4,74387.3,59199.5,74226.8,83366.2,93634.5,77128.9,90597.3,79110.8,83704.2,85636.2,19133,14431.3,15249.7,16938.8,84099.2,90581.2,85451.5,80172.8,15667.2,15212.7,6607.99,0,16021.2,7959.78,9490.26,7121.45,33394.4,50679,57502.9,36955.1,1,1,1,0,3,1,1,1,0,"3",0,0,0,0,"0","stabilized",6.7945,0.9041,0.300019396764643,1.35172148957935,1,1.31439307412661,1.60427855780622,1.48921152494232,0.59134124163528,0.338803271692493,0.277431590354917,0.283700150339193,6.6813,0.9784,0.169703212427132,1.10654332164671,1,1.12869954671245,1.07108545309801,1.22638382678675,0.686145756047896,0.195386160919789,0.205965578307185,0.107767897276484,6.4971,0.9791,0.111439700223084,1.13838218927803,1,1.25874309189875,1.12524853032709,1.14873775496624,0.77302039461037,0.205004079997526,0.0888322334592061,0.127579035668723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0225464314766925,6.65763333333333,"yes",134,"Protein kinase","domain","20-277;",20,277,NA,NA,"yes"
"84","Q15418","Q15418","KS6A1_HUMAN","RPS6KA1","Ribosomal protein S6 kinase alpha-1",8,269,1473898,1435518,1383279,1440899,1471356,1449841,1394399,1447963,1527120,1440465,1401282,1437213,649623.1,579059,581005.2,599067,1460337,1455750,1456603,1357488,623291.3,607849.6,572490.6,586651,613188,609500.9,643519,562173.8,866321,906424,846966,786436,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.9267,0.9981,0.425249700177112,1.01189653919777,1,0.998275321630126,1.0361096900871,0.990799227626335,0.587775409153144,0.440751734516228,0.422886319134703,0.416031502858407,6.7469,0.9993,0.417132813837441,1.00688146237566,1,1.00997758300488,1.00344614278609,1.01409386716154,0.631426425861605,0.403379825261683,0.423435721460825,0.424586037931952,6.7675,0.9947,0.433031814884332,1.01851715203505,1,1.00803886996043,1.01301472804835,1.05300738318156,0.612288627240058,0.420020256217292,0.413864881921868,0.465212730042168,7.043,0.9996,0.401763074156962,1.00189550455354,1,1.00490249490075,0.997441874829534,0.942111834347862,0.545795368030653,0.415759189228391,0.407142346548925,0.390154896352902,0.0203753386588591,6.871025,"yes",276,"Protein kinase","domain","62-321;418-675;",62,321,418,675,"yes"
"85","P51812","P51812","KS6A3_HUMAN","RPS6KA3","Ribosomal protein S6 kinase alpha-3",8,275,1336775,1190619,1251035,1278073,1330271,1299633,1368961,1281266.4,1279351,1327999,1309809.8,1439866.8,909248.9,922544.9,883189.2,913430.4,1386792,1393523,1362544.1,1274146,844253.2,895012.2,832937.1,897487.5,754680.4,798201.1,827627.4,827259.7,1079368.8,1068047.7,974176.4,966026.7,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",6.5456,0.9623,0.602432484245523,1.0006440128068,1,0.995134558919788,0.957042883058106,1.03741616951245,0.807442389332535,0.680180957902414,0.631559686559069,0.564553047446279,6.717,0.9145,0.732316482066304,1.09434197176906,1,1.09156077636927,1.11538535837241,1.17041891654677,0.897052457587188,0.774844765621916,0.751720071660204,0.670408501796125,6.7931,0.9738,0.677774501735862,1.05760575150496,1,1.09426275044263,1.04698093978186,1.08913347748065,0.778696359414405,0.705966819473476,0.665798398925689,0.661554153161183,7.1076,0.943,0.686932005990344,1.04205465477385,1,1.00249860532223,1.12659198652972,0.996927405555082,0.755846262302701,0.714693448652777,0.702219278554511,0.647271087019286,0.0346328682469626,6.790825,"yes",282,"Protein kinase","domain","68-327;422-679;",68,327,422,679,"yes"
"86","Q9H2G2","Q9H2G2","SLK_HUMAN","SLK","STE20-like serine/threonine-protein kinase",9,55,41357.8,78721.5,62493.6,67977,47247.7,59131.8,60512.7,78026.4,44070,51231.3,62474.3,61137,16738.5,10720.3,16384.1,15295,19939.5,29623.5,29414.8,41292,0,10827.2,18765.7,23254.8,15162.4,11595.5,25883,21362.8,14588.9,17569.6,19934,19894,0,1,1,1,3,0,1,1,1,"3",0,0,0,0,"0","stabilized",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4708,0.9922,0.114087500710329,0.987482043137183,1,0.751151845429775,0.650791715096892,0.376307616089632,0.223186804113235,0.136180077869451,0.137538029636122,0.147297752202384,7.8225,0.9833,0.323898183941336,0.989359404829918,1,0.968302354161066,0.999691168375642,0.47068499814381,0.318976663210313,0.262172446458517,0.300281948871564,0.414170411050092,7.9214,0.9714,0.284486240772491,1.06305683471305,1,1.14783529723289,0.899377730703032,0.607440752019065,0.2926578107301,0.225002574400165,0.34209806257999,0.314265119084396,0.0432709769242947,8.07156666666667,"yes",63,"Protein kinase","domain","34-292;",34,292,NA,NA,"yes"
"87","P31751","P31751","AKT2_HUMAN","AKT2","RAC-beta serine/threonine-protein kinase",17,186,674086.9,721337.5,723200.9,700818.4,704867.4,691039.8,681083.5,760632.7,670936.4,684092.2,730619.2,735368.8,509637.7,529118,483997.7,559135.1,740470.4,714989.7,703894.5,783319.2,227708,224230,242854.9,262931.2,171024,156850,163517,153190.7,675901.3,804115.8,654724.3,703769.4,1,1,1,1,4,1,1,1,1,"4",0,0,0,0,"0","stabilized",5.4598,0.9907,0.23926092798245,1.03467583656482,1,1.04566251027872,0.995326270247946,1.09847914267433,1.00269164109257,0.756041543011739,0.337802143907558,0.253712095576995,5.5451,0.9728,0.250920990884827,1.00258257001903,1,0.957997885871731,0.948366333373767,0.991199958410591,1.11475668463098,0.733523489351379,0.310853102743168,0.217443291108531,5.4526,0.9959,0.172030283198581,0.984690248526855,1,0.941762517165009,1.01025759232324,0.973304236761873,0.905314553673813,0.669243774447736,0.335805583206547,0.226101765083533,5.2642,0.9898,0.156672798320396,1.06186065398709,1,1.08534921457542,1.04930007545464,1.11772065345316,1.00421079126918,0.797831649397333,0.375177364064642,0.218588296197703,0.0218238215074598,5.430425,"yes",202,"Protein kinase","domain","152-409;",152,409,NA,NA,"yes"
