Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Mass
P00961,reviewed,SYGB_ECOLI,Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS),glyS glyS(B) b3559 JW3530,Escherichia coli (strain K12),689,76813
P00962,reviewed,SYQ_ECOLI,Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS),glnS b0680 JW0666,Escherichia coli (strain K12),554,63478
P00963,reviewed,ASNA_ECOLI,Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A),asnA b3744 JW3722,Escherichia coli (strain K12),330,36651
P00968,reviewed,CARB_ECOLI,Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain),carB pyrA b0033 JW0031,Escherichia coli (strain K12),1073,117842
P02916,reviewed,MALF_ECOLI,Maltose/maltodextrin transport system permease protein MalF,malF b4033 JW3993,Escherichia coli (strain K12),514,57013
P02924,reviewed,ARAF_ECOLI,L-arabinose-binding periplasmic protein (ABP),araF b1901 JW1889,Escherichia coli (strain K12),329,35541
P02925,reviewed,RBSB_ECOLI,Ribose import binding protein RbsB,rbsB prlB rbsP b3751 JW3730,Escherichia coli (strain K12),296,30950
P03004,reviewed,DNAA_ECOLI,Chromosomal replication initiator protein DnaA (EC 3.6.4.-),dnaA b3702 JW3679,Escherichia coli (strain K12),467,52551
P03018,reviewed,UVRD_ECOLI,DNA helicase II (EC 5.6.2.4) (DNA 3'-5' helicase II),uvrD mutU pdeB rad recL b3813 JW3786,Escherichia coli (strain K12),720,81990
P03960,reviewed,KDPB_ECOLI,Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain),kdpB b0697 JW0685,Escherichia coli (strain K12),682,72199
P03961,reviewed,KDPC_ECOLI,Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain),kdpC b0696 JW0684,Escherichia coli (strain K12),190,20267
P04079,reviewed,GUAA_ECOLI,GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (GMPS) (Glutamine amidotransferase),guaA b2507 JW2491,Escherichia coli (strain K12),525,58679
P04425,reviewed,GSHB_ECOLI,Glutathione synthetase (EC 6.3.2.3) (GSH synthetase) (GSH-S) (GSHase) (Glutathione synthase),gshB gsh-II b2947 JW2914,Escherichia coli (strain K12),316,35561
P04805,reviewed,SYE_ECOLI,Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS),gltX b2400 JW2395,Escherichia coli (strain K12),471,53816
P04816,reviewed,LIVK_ECOLI,Leucine-specific-binding protein (L-BP) (LS-BP),livK b3458 JW3423,Escherichia coli (strain K12),369,39379
P04983,reviewed,RBSA_ECOLI,Ribose import ATP-binding protein RbsA (EC 7.5.2.7),rbsA b3749 JW3728,Escherichia coli (strain K12),501,55042
P04993,reviewed,RECD_ECOLI,RecBCD enzyme subunit RecD (EC 5.6.2.3) (DNA 5'-3' helicase subunit RecB) (Exodeoxyribonuclease V 67 kDa polypeptide) (Exodeoxyribonuclease V alpha chain) (Exonuclease V subunit RecD) (ExoV subunit RecD) (Helicase/nuclease RecBCD subunit RecD),recD hopE b2819 JW2787,Escherichia coli (strain K12),608,66902
P05824,reviewed,RECN_ECOLI,DNA repair protein RecN (Recombination protein N),recN radB b2616 JW5416,Escherichia coli (strain K12),553,61396
P06609,reviewed,BTUC_ECOLI,Vitamin B12 import system permease protein BtuC,btuC b1711 JW1701,Escherichia coli (strain K12),326,34949
P06611,reviewed,BTUD_ECOLI,Vitamin B12 import ATP-binding protein BtuD (EC 7.6.2.8) (Vitamin B12-transporting ATPase),btuD b1709 JW1699,Escherichia coli (strain K12),249,27081
P06709,reviewed,BIRA_ECOLI,Bifunctional ligase/repressor BirA (Biotin operon repressor) (Biotin--[acetyl-CoA-carboxylase] ligase) (EC 6.3.4.15) (Biotin--protein ligase) (Biotin-[acetyl-CoA carboxylase] synthetase),birA bioR dhbB b3973 JW3941,Escherichia coli (strain K12),321,35312
P06710,reviewed,DPO3X_ECOLI,DNA polymerase III subunit tau (EC 2.7.7.7) (DNA polymerase III subunit gamma),dnaX dnaZ dnaZX b0470 JW0459,Escherichia coli (strain K12),643,71138
P06961,reviewed,CCA_ECOLI,"Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase (EC 3.1.3.-)]",cca b3056 JW3028,Escherichia coli (strain K12),412,46467
P06971,reviewed,FHUA_ECOLI,Ferrichrome outer membrane transporter/phage receptor (Ferric hydroxamate receptor) (Ferric hydroxamate uptake) (Ferrichrome-iron receptor),fhuA tonA b0150 JW0146,Escherichia coli (strain K12),747,82182
P06972,reviewed,FHUB_ECOLI,Iron(3+)-hydroxamate import system permease protein FhuB (Ferric hydroxamate uptake protein B) (Ferrichrome transport system permease protein FhuB) (Ferrichrome uptake protein FhuB) (Iron(III)-hydroxamate import system permease protein FhuB),fhuB b0153 JW0149,Escherichia coli (strain K12),660,70423
P06989,reviewed,HIS2_ECOLI,Histidine biosynthesis bifunctional protein HisIE [Includes: Phosphoribosyl-AMP cyclohydrolase (PRA-CH) (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31)],hisI hisIE b2026 JW2008,Escherichia coli (strain K12),203,22756
P06993,reviewed,MALT_ECOLI,HTH-type transcriptional regulator MalT (ATP-dependent transcriptional activator MalT),malT malA b3418 JW3381,Escherichia coli (strain K12),901,103118
P06999,reviewed,PFKB_ECOLI,ATP-dependent 6-phosphofructokinase isozyme 2 (ATP-PFK 2) (Phosphofructokinase 2) (EC 2.7.1.11) (6-phosphofructokinase isozyme II) (Phosphohexokinase 2),pfkB b1723 JW5280,Escherichia coli (strain K12),309,32456
P07109,reviewed,HISP_ECOLI,Histidine/lysine/arginine/ornithine transport ATP-binding protein HisP (EC 7.4.2.1),hisP b2306 JW2303,Escherichia coli (strain K12),257,28653
P07118,reviewed,SYV_ECOLI,Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS),valS b4258 JW4215,Escherichia coli (strain K12),951,108192
P07363,reviewed,CHEA_ECOLI,Chemotaxis protein CheA (EC 2.7.13.3),cheA b1888 JW1877,Escherichia coli (strain K12),654,71382
P07395,reviewed,SYFB_ECOLI,Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS),pheT b1713 JW1703,Escherichia coli (strain K12),795,87378
P07604,reviewed,TYRR_ECOLI,HTH-type transcriptional regulatory protein TyrR,tyrR b1323 JW1316,Escherichia coli (strain K12),513,57656
P07648,reviewed,RECC_ECOLI,RecBCD enzyme subunit RecC (Exodeoxyribonuclease V 125 kDa polypeptide) (Exodeoxyribonuclease V gamma chain) (Exonuclease V subunit RecC) (ExoV subunit RecC) (Helicase/nuclease RecBCD subunit RecC),recC b2822 JW2790,Escherichia coli (strain K12),1122,128848
P07654,reviewed,PSTA_ECOLI,Phosphate transport system permease protein PstA,pstA phoT b3726 JW3704,Escherichia coli (strain K12),296,32322
P07813,reviewed,SYL_ECOLI,Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS),leuS b0642 JW0637,Escherichia coli (strain K12),860,97234
P07821,reviewed,FHUC_ECOLI,Iron(3+)-hydroxamate import ATP-binding protein FhuC (EC 7.2.2.16) (Ferric hydroxamate uptake protein C) (Ferrichrome transport ATP-binding protein FhuC) (Iron(III)-hydroxamate import ATP-binding protein FhuC),fhuC b0151 JW0147,Escherichia coli (strain K12),265,28886
P07822,reviewed,FHUD_ECOLI,Iron(3+)-hydroxamate-binding protein FhuD (Ferric hydroxamate uptake protein D) (Ferrichrome-binding periplasmic protein) (Iron(III)-hydroxamate-binding protein FhuD),fhuD b0152 JW0148,Escherichia coli (strain K12),296,32998
P07862,reviewed,DDLB_ECOLI,D-alanine--D-alanine ligase B (EC 6.3.2.4) (D-Ala-D-Ala ligase B) (D-alanylalanine synthetase B),ddlB ddl b0092 JW0090,Escherichia coli (strain K12),306,32840
P08178,reviewed,PUR5_ECOLI,Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase),purM purG b2499 JW2484,Escherichia coli (strain K12),345,36854
P08192,reviewed,FOLC_ECOLI,Dihydrofolate synthase/folylpolyglutamate synthase (DHFS / FPGS) (EC 6.3.2.12) (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase-dihydrofolate synthetase) (Folylpolyglutamate synthetase) (Tetrahydrofolylpolyglutamate synthase),folC dedC b2315 JW2312,Escherichia coli (strain K12),422,45406
P08204,reviewed,ARAB_ECOLI,Ribulokinase (EC 2.7.1.16),araB b0063 JW0062,Escherichia coli (strain K12),566,61089
P08312,reviewed,SYFA_ECOLI,Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS),pheS b1714 JW5277,Escherichia coli (strain K12),327,36832
P08394,reviewed,RECB_ECOLI,RecBCD enzyme subunit RecB (EC 3.1.11.5) (EC 5.6.2.4) (DNA 3'-5' helicase subunit RecB) (Exodeoxyribonuclease V 135 kDa polypeptide) (Exodeoxyribonuclease V beta chain) (Exonuclease V subunit RecB) (ExoV subunit RecB) (Helicase/nuclease RecBCD subunit RecB),recB ior rorA b2820 JW2788,Escherichia coli (strain K12),1180,133959
P08400,reviewed,PHOR_ECOLI,Phosphate regulon sensor protein PhoR (EC 2.7.13.3),phoR nmpB b0400 JW0390,Escherichia coli (strain K12),431,49629
P08401,reviewed,CREC_ECOLI,Sensor protein CreC (EC 2.7.13.3),creC phoM b4399 JW4362,Escherichia coli (strain K12),474,52176
P08622,reviewed,DNAJ_ECOLI,Chaperone protein DnaJ (HSP40) (Heat shock protein J),dnaJ groP b0015 JW0014,Escherichia coli (strain K12),376,41100
P08660,reviewed,AK3_ECOLI,Lysine-sensitive aspartokinase 3 (EC 2.7.2.4) (Aspartate kinase III) (AKIII) (Lysine-sensitive aspartokinase III),lysC apk b4024 JW3984,Escherichia coli (strain K12),449,48532
P08956,reviewed,T1RK_ECOLI,Type I restriction enzyme EcoKI endonuclease subunit (EcoKI) (R protein) (EC 3.1.21.3),hsdR hsr b4350 JW4313,Escherichia coli (strain K12),1170,134095
P09029,reviewed,PURK_ECOLI,N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase),purK b0522 JW0511,Escherichia coli (strain K12),355,39461
P09099,reviewed,XYLB_ECOLI,Xylulose kinase (XK) (Xylulokinase) (EC 2.7.1.17) (1-deoxy-D-xylulokinase) (EC 2.7.1.-),xylB b3564 JW3536,Escherichia coli (strain K12),484,52618
P09130,reviewed,TRAD1_ECOLI,Coupling protein TraD (DNA transport protein TraD),traD ECOK12F102,Escherichia coli (strain K12),717,81489
P09372,reviewed,GRPE_ECOLI,Protein GrpE (HSP-70 cofactor) (HSP24) (Heat shock protein B25.3),grpE b2614 JW2594,Escherichia coli (strain K12),197,21798
P09551,reviewed,ARGT_ECOLI,Lysine/arginine/ornithine-binding periplasmic protein (LAO-binding protein),argT b2310 JW2307,Escherichia coli (strain K12),260,27992
P09833,reviewed,MODC_ECOLI,Molybdenum import ATP-binding protein ModC (EC 7.3.2.5),modC chlD narD b0765 JW0748,Escherichia coli (strain K12),352,39102
P09835,reviewed,UHPB_ECOLI,Signal transduction histidine-protein kinase/phosphatase UhpB (EC 2.7.13.3) (EC 3.1.3.-),uhpB b3668 JW3643,Escherichia coli (strain K12),500,56306
P09980,reviewed,REP_ECOLI,ATP-dependent DNA helicase Rep (EC 5.6.2.4) (DNA 3'-5' helicase Rep),rep b3778 JW5604,Escherichia coli (strain K12),673,77024
P0A698,reviewed,UVRA_ECOLI,UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A),uvrA dinE b4058 JW4019,Escherichia coli (strain K12),940,103868
P0A6A0,reviewed,UBIB_ECOLI,Probable protein kinase UbiB (EC 2.7.-.-) (Ubiquinone biosynthesis protein UbiB),ubiB aarF yigQ yigR yigS b3835 JW3812,Escherichia coli (strain K12),546,63203
P0A6A3,reviewed,ACKA_ECOLI,Acetate kinase (EC 2.7.2.1) (Acetokinase),ackA ack b2296 JW2293,Escherichia coli (strain K12),400,43290
P0A6C8,reviewed,ARGB_ECOLI,Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK),argB b3959 JW5553,Escherichia coli (strain K12),258,27160
P0A6D7,reviewed,AROK_ECOLI,Shikimate kinase 1 (SK 1) (EC 2.7.1.71) (Shikimate kinase I) (SKI),aroK b3390 JW5947,Escherichia coli (strain K12),173,19538
P0A6E1,reviewed,AROL_ECOLI,Shikimate kinase 2 (SK 2) (EC 2.7.1.71) (Shikimate kinase II) (SKII),aroL b0388 JW0379,Escherichia coli (strain K12),174,19151
P0A6E4,reviewed,ASSY_ECOLI,Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase),argG b3172 JW3140,Escherichia coli (strain K12),447,49898
P0A6E6,reviewed,ATPE_ECOLI,ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit),atpC papG uncC b3731 JW3709,Escherichia coli (strain K12),139,15068
P0A6E9,reviewed,BIOD2_ECOLI,ATP-dependent dethiobiotin synthetase BioD 2 (EC 6.3.3.3) (DTB synthetase 2) (DTBS 2) (Dethiobiotin synthase 2),bioD2 ynfK b1593 JW5264,Escherichia coli (strain K12),231,24981
P0A6F1,reviewed,CARA_ECOLI,Carbamoyl phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl phosphate synthetase glutamine chain),carA pyrA b0032 JW0030,Escherichia coli (strain K12),382,41431
P0A6F3,reviewed,GLPK_ECOLI,Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK),glpK b3926 JW3897,Escherichia coli (strain K12),502,56231
P0A6F5,reviewed,CH60_ECOLI,Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60) (GroEL protein),groEL groL mopA b4143 JW4103,Escherichia coli (strain K12),548,57329
P0A6F9,reviewed,CH10_ECOLI,Co-chaperonin GroES (10 kDa chaperonin) (Chaperonin-10) (Cpn10),groES groS mopB b4142 JW4102,Escherichia coli (strain K12),97,10387
P0A6G7,reviewed,CLPP_ECOLI,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Caseinolytic protease) (Endopeptidase Clp) (Heat shock protein F21.5) (Protease Ti),clpP lopP b0437 JW0427,Escherichia coli (strain K12),207,23187
P0A6H1,reviewed,CLPX_ECOLI,ATP-dependent Clp protease ATP-binding subunit ClpX (ATP-dependent unfoldase ClpX),clpX lopC b0438 JW0428,Escherichia coli (strain K12),424,46356
P0A6H5,reviewed,HSLU_ECOLI,ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU),hslU htpI b3931 JW3902,Escherichia coli (strain K12),443,49594
P0A6I0,reviewed,KCY_ECOLI,Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase) (Protein MssA) (p25),cmk mssA ycaF ycaG b0910 JW0893,Escherichia coli (strain K12),227,24746
P0A6I3,reviewed,COAA_ECOLI,Pantothenate kinase (EC 2.7.1.33) (Pantothenic acid kinase) (Rts protein),coaA panK rts b3974 JW3942,Escherichia coli (strain K12),316,36360
P0A6I6,reviewed,COAD_ECOLI,Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT),coaD kdtB yicA b3634 JW3609,Escherichia coli (strain K12),159,17837
P0A6I9,reviewed,COAE_ECOLI,Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase),coaE yacE b0103 JW0100,Escherichia coli (strain K12),206,22622
P0A6J1,reviewed,CYSC_ECOLI,Adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase),cysC b2750 JW2720,Escherichia coli (strain K12),201,22321
P0A6J8,reviewed,DDLA_ECOLI,D-alanine--D-alanine ligase A (EC 6.3.2.4) (D-Ala-D-Ala ligase A) (D-alanylalanine synthetase A),ddlA b0381 JW0372,Escherichia coli (strain K12),364,39316
P0A6T3,reviewed,GAL1_ECOLI,Galactokinase (EC 2.7.1.6) (Galactose kinase),galK galA b0757 JW0740,Escherichia coli (strain K12),382,41442
P0A6V1,reviewed,GLGC_ECOLI,Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) (ADP-glucose synthase),glgC b3430 JW3393,Escherichia coli (strain K12),431,48698
P0A6V8,reviewed,GLK_ECOLI,Glucokinase (EC 2.7.1.2) (Glucose kinase),glk b2388 JW2385,Escherichia coli (strain K12),321,34723
P0A6W9,reviewed,GSH1_ECOLI,Glutamate--cysteine ligase (EC 6.3.2.2) (Gamma-ECS) (GCS) (Gamma-glutamylcysteine synthetase),gshA gsh-I b2688 JW2663,Escherichia coli (strain K12),518,58269
P0A6X3,reviewed,HFQ_ECOLI,RNA-binding protein Hfq (HF-1) (Host factor-I protein) (HF-I),hfq b4172 JW4130,Escherichia coli (strain K12),102,11166
P0A6Y8,reviewed,DNAK_ECOLI,Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70),dnaK groP grpF seg b0014 JW0013,Escherichia coli (strain K12),638,69115
P0A6Z1,reviewed,HSCA_ECOLI,Chaperone protein HscA (Hsc66),hscA hsc b2526 JW2510,Escherichia coli (strain K12),616,65652
P0A6Z3,reviewed,HTPG_ECOLI,Chaperone protein HtpG (Heat shock protein C62.5) (Heat shock protein HtpG) (High temperature protein G),htpG b0473 JW0462,Escherichia coli (strain K12),624,71423
P0A717,reviewed,KPRS_ECOLI,Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate synthase) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase),prs prsA b1207 JW1198,Escherichia coli (strain K12),315,34218
P0A720,reviewed,KTHY_ECOLI,Thymidylate kinase (EC 2.7.4.9) (Thymidine monophosphate kinase) (dTMP kinase) (TMPK),tmk ycfG b1098 JW1084,Escherichia coli (strain K12),213,23783
P0A752,reviewed,NADD_ECOLI,Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase),nadD ybeN b0639 JW0634,Escherichia coli (strain K12),213,24528
P0A763,reviewed,NDK_ECOLI,Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase),ndk b2518 JW2502,Escherichia coli (strain K12),143,15463
P0A796,reviewed,PFKA_ECOLI,ATP-dependent 6-phosphofructokinase isozyme 1 (ATP-PFK 1) (Phosphofructokinase 1) (EC 2.7.1.11) (6-phosphofructokinase isozyme I) (Phosphohexokinase 1) (Sedoheptulose-7-phosphate kinase),pfkA b3916 JW3887,Escherichia coli (strain K12),320,34842
P0A799,reviewed,PGK_ECOLI,Phosphoglycerate kinase (EC 2.7.2.3),pgk b2926 JW2893,Escherichia coli (strain K12),387,41118
P0A7B1,reviewed,PPK1_ECOLI,Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase),ppk b2501 JW2486,Escherichia coli (strain K12),688,80432
P0A7B3,reviewed,NADK_ECOLI,NAD kinase (EC 2.7.1.23) (ATP-dependent NAD kinase),nadK yfjB yfjE b2615 JW2596,Escherichia coli (strain K12),292,32566
P0A7B5,reviewed,PROB_ECOLI,Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK),proB b0242 JW0232,Escherichia coli (strain K12),367,39057
P0A7B8,reviewed,HSLV_ECOLI,ATP-dependent protease subunit HslV (EC 3.4.25.2) (Heat shock protein HslV),hslV htpO yiiC b3932 JW3903,Escherichia coli (strain K12),176,19093
P0A7D7,reviewed,PUR7_ECOLI,Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase),purC b2476 JW2461,Escherichia coli (strain K12),237,26995
P0A7E5,reviewed,PYRG_ECOLI,CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase),pyrG b2780 JW2751,Escherichia coli (strain K12),545,60374
P0A7E9,reviewed,PYRH_ECOLI,Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK),pyrH smbA b0171 JW0166,Escherichia coli (strain K12),241,25970
P0A7G6,reviewed,RECA_ECOLI,Protein RecA (Recombinase A),recA lexB recH rnmB tif umuB zab b2699 JW2669,Escherichia coli (strain K12),353,37973
P0A7H0,reviewed,RECF_ECOLI,DNA replication and repair protein RecF,recF uvrF b3700 JW3677,Escherichia coli (strain K12),357,40514
P0A7Y0,reviewed,RNC_ECOLI,Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III),rnc b2567 JW2551,Escherichia coli (strain K12),226,25550
P0A809,reviewed,RUVA_ECOLI,Holliday junction branch migration complex subunit RuvA,ruvA b1861 JW1850,Escherichia coli (strain K12),203,22086
P0A812,reviewed,RUVB_ECOLI,Holliday junction branch migration complex subunit RuvB (EC 3.6.4.-),ruvB b1860 JW1849,Escherichia coli (strain K12),336,37174
P0A817,reviewed,METK_ECOLI,S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase),metK metX b2942 JW2909,Escherichia coli (strain K12),384,41952
P0A836,reviewed,SUCC_ECOLI,Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta),sucC b0728 JW0717,Escherichia coli (strain K12),388,41393
P0A894,reviewed,RAPZ_ECOLI,RNase adapter protein RapZ,rapZ yhbJ b3205 JW3172,Escherichia coli (strain K12),284,32492
P0A8A4,reviewed,PSRP_ECOLI,"Phosphoenolpyruvate synthase regulatory protein (PEP synthase regulatory protein) (PSRP) (EC 2.7.11.33) (EC 2.7.4.28) (Pyruvate, water dikinase regulatory protein)",ppsR ydiA b1703 JW1693,Escherichia coli (strain K12),277,31211
P0A8D0,reviewed,NRDR_ECOLI,Transcriptional repressor NrdR,nrdR ybaD b0413 JW0403,Escherichia coli (strain K12),149,17229
P0A8E7,reviewed,YAJQ_ECOLI,UPF0234 protein YajQ,yajQ b0426 JW5058,Escherichia coli (strain K12),163,18344
P0A8F4,reviewed,URK_ECOLI,Uridine kinase (EC 2.7.1.48) (Cytidine monophosphokinase) (Uridine monophosphokinase),udk b2066 JW2051,Escherichia coli (strain K12),213,24353
P0A8F8,reviewed,UVRB_ECOLI,UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B),uvrB b0779 JW0762,Escherichia coli (strain K12),673,76226
P0A8J8,reviewed,RHLB_ECOLI,ATP-dependent RNA helicase RhlB (EC 3.6.4.13),rhlB mmrA b3780 JW3753,Escherichia coli (strain K12),421,47126
P0A8L1,reviewed,SYS_ECOLI,Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase),serS b0893 JW0876,Escherichia coli (strain K12),430,48414
P0A8M0,reviewed,SYN_ECOLI,Asparagine--tRNA ligase (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS),asnS tss b0930 JW0913,Escherichia coli (strain K12),466,52570
P0A8M3,reviewed,SYT_ECOLI,Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS),thrS b1719 JW1709,Escherichia coli (strain K12),642,74014
P0A8N3,reviewed,SYK1_ECOLI,Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS),lysS asuD herC b2890 JW2858,Escherichia coli (strain K12),505,57603
P0A8N5,reviewed,SYK2_ECOLI,"Lysine--tRNA ligase, heat inducible (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)",lysU b4129 JW4090,Escherichia coli (strain K12),505,57827
