Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/21/d5c0409d24545d8e1975cfdc0bf9d6/250625_Stitch_S4611_IB_TPP_stauros_treat_T4_rep4_R1.mzML,/nextflow_runs/work/93/926a0a4e2d95ad220653b60c33e0b0/250625_Stitch_S4611_IB_TPP_stauros_treat_T4_rep2_R1.mzML,/nextflow_runs/work/69/f85b93db9e34d2529e73b620d4524e/250625_Stitch_S4610_IB_TPP_stauros_control_T4_rep4_R1.mzML,/nextflow_runs/work/74/e0cf66cc722ed1285cb1cbcfc26fcc/250625_Stitch_S4611_IB_TPP_stauros_treat_T4_rep3_R1.mzML,/nextflow_runs/work/9f/7ceb0175e1c81fada40264a9bd4876/250625_Stitch_S4611_IB_TPP_stauros_treat_T4_rep1_R1.mzML,/nextflow_runs/work/ab/bd0c6ba4de0964352a132f168071a6/250625_Stitch_S4610_IB_TPP_stauros_control_T4_rep1_R1.mzML,/nextflow_runs/work/d4/a2fed89bac78aaf88800451e7e35f5/250625_Stitch_S4610_IB_TPP_stauros_control_T4_rep3_R1.mzML,/nextflow_runs/work/c2/591c476288ded598123ae1dccdf598/250625_Stitch_S4610_IB_TPP_stauros_control_T4_rep2_R1.mzML
A2A432;Q3TCH7,A2A432;Q3TCH7,CUL4A_MOUSE;CUL4B_MOUSE,Cul4a;Cul4b,Cullin-4B,232864,203577,254549,247335,240339,261154,259986,253351
A2A4P0,A2A4P0,DHX8_MOUSE,Dhx8,ATP-dependent RNA helicase DHX8,19047.7,24408.2,17673.1,20331.9,21759.2,18354.1,24429.3,22409
A2A4P0;O35286,O35286;A2A4P0,DHX15_MOUSE;DHX8_MOUSE,Dhx15;Dhx8,ATP-dependent RNA helicase DHX8,38759.6,,36516.9,33762.6,35038.4,45512.8,32190.6,38903.4
A2A5R2,A2A5R2,BIG2_MOUSE,Arfgef2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,88350.8,89233.3,94617.2,93694,95132.8,77607.8,92492.9,88214.1
A2A5R2;G3X9K3,A2A5R2;G3X9K3,BIG1_MOUSE;BIG2_MOUSE,Arfgef1;Arfgef2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,153434,141438,171672,163198,153606,146709,171987,150969
A2A5Z6,A2A5Z6,SMUF2_MOUSE,Smurf2,E3 ubiquitin-protein ligase SMURF2,26817.5,33489.3,40344.2,32111.1,49652.3,31353.8,39224,40171.6
A2A5Z6;P46935;Q8CFI0,A2A5Z6;P46935;Q8CFI0;Q8K4P8;Q9CUN6;Q6I6G8,NED4L_MOUSE;NEDD4_MOUSE;SMUF2_MOUSE,Nedd4;Nedd4l;Smurf2,E3 ubiquitin-protein ligase SMURF2,61303,59778.2,82234.6,79585.6,52184.3,61537.8,71767.5,57630.8
A2A6A1,A2A6A1,GPTC8_MOUSE,Gpatch8,G patch domain-containing protein 8,36877.5,33427.1,29940.4,26750.9,33281.4,34317.1,31510.7,33814.3
A2A6H3,A2A6H3,FBX47_MOUSE,Fbxo47,F-box only protein 47,196179,182083,136373,172273,169365,96141.8,140707,122477
A2A6Q5,A2A6Q5,CDC27_MOUSE,Cdc27,Cell division cycle protein 27 homolog,2724.86,1722.53,1284.78,2602.44,,2688.93,2177.17,2645.8
A2A6T1,A2A6T1,CDR2L_MOUSE,Cdr2l,Cerebellar degeneration-related protein 2-like,5082.53,,,8119.76,5561.76,4107.05,5866.29,3307.9
A2A7S8,A2A7S8,K1522_MOUSE,Kiaa1522,Uncharacterized protein KIAA1522,90876.1,77816.1,86630.2,90079.8,97909.7,85536.2,88371.4,94730.4
A2A8L5,A2A8L5,PTPRF_MOUSE,Ptprf,Receptor-type tyrosine-protein phosphatase F,77796.5,90910,83234.9,85939,88390.3,86850,91893.2,84895.1
A2A8L5;Q64487,A2A8L5;Q64487,PTPRD_MOUSE;PTPRF_MOUSE,Ptprd;Ptprf,Receptor-type tyrosine-protein phosphatase F,119485,113259,117542,120227,125622,152145,133042,143317
A2A8Z1,A2A8Z1,OSBL9_MOUSE,Osbpl9,Oxysterol-binding protein-related protein 9,28695.7,23981.8,24672.6,26143.9,27396.1,26104.6,26946.6,26912.3
A2A9C3,A2A9C3,SZT2_MOUSE,Szt2,KICSTOR complex protein SZT2,21382.8,23486.5,17971.5,22257,31472.3,20258.2,23233.4,21160.6
A2ABU4,A2ABU4,MYOM3_MOUSE,Myom3,Myomesin-3,469170,345320,555538,604600,481095,464826,430622,401364
A2ABV5,A2ABV5,MED14_MOUSE,Med14,Mediator of RNA polymerase II transcription subunit 14,65978.3,54566.7,56048.9,63747.7,39065.9,44133.7,56239.2,50314.1
A2ADA5,A2ADA5,PUSL1_MOUSE,Pusl1,tRNA pseudouridine synthase-like 1,29293.5,33332.8,31271.4,21925.8,37020.4,33645.9,30234.2,36298
A2ADY9,A2ADY9,DDI2_MOUSE,Ddi2,Protein DDI1 homolog 2,1.31E+06,1.17E+06,1.31E+06,1.36E+06,1.30E+06,1.13E+06,1.20E+06,1.40E+06
A2ADY9;Q9DAF3,A2ADY9;Q9DAF3,DDI1_MOUSE;DDI2_MOUSE,Ddi1;Ddi2,Protein DDI1 homolog 2,238235,192400,311987,272480,263717,367958,227209,309316
A2AEP0,A2AEP0,OBP1B_MOUSE,Obp1b,Odorant-binding protein 1b,3340.74,3653.53,3294.25,4704.54,6723.39,4636.27,4899.47,3211.16
A2AF47,A2AF47,DOC11_MOUSE,Dock11,Dedicator of cytokinesis protein 11,16950.7,39200.4,,,,,20046.1,42568.5
A2AG58,A2AG58,BCLA3_MOUSE,Bclaf3,BCLAF1 and THRAP3 family member 3,,,,,,81775.5,,
A2AGT5,A2AGT5,CKAP5_MOUSE,Ckap5,Cytoskeleton-associated protein 5,67053.3,68120.8,67964,67476.9,74166.2,58992.7,69968.1,72671
A2AH22,A2AH22,AMRA1_MOUSE,Ambra1,Activating molecule in BECN1-regulated autophagy protein 1,17063.1,12481.6,8934.43,11592.9,8235.26,18221.9,,12496.9
A2AHC3,A2AHC3,CAMP1_MOUSE,Camsap1,Calmodulin-regulated spectrin-associated protein 1,21708.6,15586.5,22012.4,25377.7,25585.8,23881.9,19041.4,23814.7
A2AHG0,A2AHG0,LZTS3_MOUSE,Lzts3,Leucine zipper putative tumor suppressor 3,,,10263.2,3516.82,5687.07,2508.75,4510.7,
A2AI05,A2AI05,NDOR1_MOUSE,Ndor1,NADPH-dependent diflavin oxidoreductase 1,13386.6,16450.1,8980.74,13630,,11680.3,10525.6,14588.1
A2AIG8,A2AIG8,1A1L1_MOUSE,Accs,1-aminocyclopropane-1-carboxylate synthase-like protein 1,18834.4,24575.8,21220,21421.9,28384.8,22495,22592.3,20539.4
A2AIL4,A2AIL4,NDUF6_MOUSE,Ndufaf6,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",94996.4,100618,98666.2,95013.3,108213,84371.2,101447,105180
A2AIV2,A2AIV2,VIR_MOUSE,Virma,Protein virilizer homolog,22205.3,22364.9,30964.5,24458.1,23334.7,21499.2,22516.4,20100.9
A2AJ15,A2AJ15,MA1B1_MOUSE,Man1b1,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",40260.1,38112.9,31243.9,33675.4,37885.8,36844.2,44129.4,36086.7
A2AJ88,A2AJ88,PLPL7_MOUSE,Pnpla7,Patatin-like phospholipase domain-containing protein 7,51271.7,63073.1,50822.9,47858.5,57692.3,49659.5,53222.3,56246.9
A2AJB2,A2AJB2,TM141_MOUSE,Tmem141,Transmembrane protein 141,26729.7,17659.4,22143.8,13304.2,13026.4,17558.7,20452.7,17056
A2AJI0,A2AJI0,MA7D1_MOUSE,Map7d1,MAP7 domain-containing protein 1,60567.7,55157.2,62326.2,53056.2,60413.1,60389.9,57413.1,47011.2
A2AJL3,A2AJL3,FGGY_MOUSE,Fggy,FGGY carbohydrate kinase domain-containing protein,1.24E+06,1.13E+06,1.30E+06,1.41E+06,1.29E+06,1.68E+06,1.28E+06,1.55E+06
A2AJQ3,A2AJQ3,D19L4_MOUSE,Dpy19l4,Probable C-mannosyltransferase DPY19L4,,9597.53,8154.75,14538.6,,10734.1,6626.92,10800.7
A2AJT4,A2AJT4,PNISR_MOUSE,Pnisr,Arginine/serine-rich protein PNISR,17500.7,12996,9594.99,7344.06,11036.7,9720.52,16134.6,12484.3
A2AKB9,A2AKB9,DCA10_MOUSE,Dcaf10,DDB1- and CUL4-associated factor 10,35280.4,19228.1,25576.4,21281.6,36490.5,13330.4,21800,21690.2
A2AKG8,A2AKG8,FOCAD_MOUSE,Focad,Focadhesin,29030.2,26986.5,24783.1,27192.7,29345.6,24178.8,31036.3,28018.1
A2AKK5,A2AKK5,ACNT1_MOUSE,Acnat1,Acyl-coenzyme A amino acid N-acyltransferase 1,95359,77376.2,107490,97163.8,77521.6,70778.4,97064.8,71757.8
A2AKK5;Q8BGG9,A2AKK5;Q8BGG9,ACNT1_MOUSE;ACNT2_MOUSE,Acnat1;Acnat2,Acyl-coenzyme A amino acid N-acyltransferase 1,469969,411679,420499,469134,464713,432918,474494,432418
A2AKQ0,A2AKQ0,S35D1_MOUSE,Slc35d1,Nucleotide sugar transporter SLC35D1,133863,128103,164550,166384,155808,225432,177916,178676
A2AL36,A2AL36,CNTRL_MOUSE,Cntrl,Centriolin,80335.1,,83026,74968.3,107628,89381.7,71455.6,83556
A2ALK8,A2ALK8,PTN3_MOUSE,Ptpn3,Tyrosine-protein phosphatase non-receptor type 3,13128.9,17824.1,13569.3,14364.8,13912.3,14202.3,17034.5,11572.6
A2ALU4,A2ALU4,SHRM2_MOUSE,Shroom2,Protein Shroom2,73739.3,65039.6,78035.4,76917.7,66164.4,74551.3,77425.4,78234.9
A2ALW5,A2ALW5,DJC25_MOUSE,Dnajc25,DnaJ homolog subfamily C member 25,123794,134584,120262,108422,135908,124611,125052,130821
A2AMZ4,A2AMZ4,NDUF8_MOUSE,Ndufaf8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8,7817.67,8458.75,6708.82,9235.19,11694.5,10337.9,10072.2,6956.85
A2AN08,A2AN08,UBR4_MOUSE,Ubr4,E3 ubiquitin-protein ligase UBR4,177851,182773,180924,188143,193903,188752,201089,204229
A2AP18,A2AP18,PLCH2_MOUSE,Plch2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2",526433,,574464,,451831,604449,304393,457249
A2APT9,A2APT9,KLD7A_MOUSE,Klhdc7a,Kelch domain-containing protein 7A,66429.1,63932.1,70912.5,65041.6,61003.8,62856.9,64611.5,62531.9
A2APV2,Q6ZPF4;A2APV2,FMNL2_MOUSE,Fmnl2,Formin-like protein 2,206748,210582,155508,208159,195935,195991,215740,196859
A2APY7,A2APY7,NDUF5_MOUSE,Ndufaf5,"Arginine-hydroxylase NDUFAF5, mitochondrial",39396.2,39222.1,41139.4,42263.2,45864.5,37480.1,40567.8,44496.1
A2AQ07;P68372;P99024;Q7TMM9;Q922F4,A2AQ07;P68372;P99024;Q7TMM9;Q9CWF2;Q9D6F9;Q9ERD7;Q922F4,TBB1_MOUSE;TBB2A_MOUSE;TBB4B_MOUSE;TBB5_MOUSE;TBB6_MOUSE,Tubb1;Tubb2a;Tubb4b;Tubb5;Tubb6,Tubulin beta-1 chain,2.33E+06,2.10E+06,2.91E+06,2.94E+06,3.12E+06,3.07E+06,2.71E+06,2.85E+06
A2AQ19,A2AQ19,RTF1_MOUSE,Rtf1,RNA polymerase-associated protein RTF1 homolog,89726.9,75127.3,85598,89388,83789.9,75620.4,86175.3,81213.2
A2AQ25,A2AQ25,SKT_MOUSE,Skt,Sickle tail protein,34497.3,30163.6,27115.2,27402.4,33122.1,29739.4,34206.3,30508.2
A2AR02,A2AR02,PPIG_MOUSE,Ppig,Peptidyl-prolyl cis-trans isomerase G,42053.6,39821.2,48911.9,40934.4,41288.8,39135.7,47363,46310.1
A2ARA8,A2ARA8,ITA8_MOUSE,Itga8,Integrin alpha-8,50019.7,65109.3,60971.2,50503.2,38877.3,81819.9,64313.7,69775.8
A2ARI4,A2ARI4,LGR4_MOUSE,Lgr4,Leucine-rich repeat-containing G-protein coupled receptor 4,10286.8,6321.93,9977.97,9106.72,7733.42,8136.05,10530.7,9142.63
A2ARZ3,A2ARZ3,FSIP2_MOUSE,Fsip2,Fibrous sheath-interacting protein 2,222065,206078,166832,159180,204295,161949,162475,173842
A2AS89,A2AS89,GDAH_MOUSE,Agmat,"Guanidino acid hydrolase, mitochondrial",1.30E+06,1.05E+06,1.26E+06,1.22E+06,1.15E+06,1.21E+06,1.17E+06,1.14E+06
A2ASQ1,A2ASQ1,AGRIN_MOUSE,Agrn,Agrin,42699.9,41159.6,33723.4,33494.4,26719.7,31716.6,29900.5,34119.6
A2ASS6,A2ASS6,TITIN_MOUSE,Ttn,Titin,127072,162489,118100,136545,150158,135359,93457.9,119512
A2ASZ8,A2ASZ8,SCMC2_MOUSE,Slc25a25,Mitochondrial adenyl nucleotide antiporter SLC25A25,296695,320590,331592,326119,345313,348375,338415,352541
A2AT37,A2AT37,RENT2_MOUSE,Upf2,Regulator of nonsense transcripts 2,34339.5,31709.7,32672.2,30280.2,27500.9,29560.7,32535,30217.4
A2AT37;A2AU72,A2AT37;A2AU72,ARMC3_MOUSE;RENT2_MOUSE,Armc3;Upf2,Regulator of nonsense transcripts 2,9888,7727.08,8562.63,4533.03,23848.1,12764.5,3846.46,
A2ATU0,A2ATU0,DHTK1_MOUSE,Dhtkd1,2-oxoadipate dehydrogenase complex component E1,853364,753948,869941,881724,830144,980742,845467,944260
A2AU72,A2AU72,ARMC3_MOUSE,Armc3,Armadillo repeat-containing protein 3,40034.2,28075.9,43346,44126,,35627.4,32560.9,29696.8
A2AUY4,A2AUY4,BAZ2B_MOUSE,Baz2b,Bromodomain adjacent to zinc finger domain protein 2B,6403.79,,9284.76,12367.3,3018.08,1948.1,2423.67,4860.47
A2AVZ9,A2AVZ9,S43A3_MOUSE,Slc43a3,Equilibrative nucleobase transporter 1,,22124.8,,,,14065.2,19480.7,34406.3
A2AWA9,A2AWA9,RBGP1_MOUSE,Rabgap1,Rab GTPase-activating protein 1,85912.5,80068.2,85932.1,80798.8,83823.1,84751.2,82817.5,88812.6
A2AWP8,A2AWP8,ARGAL_MOUSE,Arhgef10l,Rho guanine nucleotide exchange factor 10-like protein,24694.3,21833.1,29431.6,30117.6,26045.6,31870.8,29822.5,30017.7
A2AWR3,A2AWR3,LYCHS_MOUSE,Gpr155,Lysosomal cholesterol signaling protein,54318.8,46985.8,51053.6,49320.8,46889.3,44607.6,59651.9,48945.7
A2BDX3,A2BDX3,MOCS3_MOUSE,Mocs3,Adenylyltransferase and sulfurtransferase MOCS3,42346.6,44151.5,42058.2,44208.2,45740.2,42318.3,45110,50034.2
A2BE28,A2BE28,LAS1L_MOUSE,Las1l,Ribosomal biogenesis protein LAS1L,14092.3,10869.7,13546.8,12127.8,14827.1,8081.93,12072.2,11943
A2BH40,A2BH40,ARI1A_MOUSE,Arid1a,AT-rich interactive domain-containing protein 1A,50499.7,45287.9,46560.9,45291.9,50492.7,52962.3,45465,43870.6
A2BH40;E9Q4N7,A2BH40;E9Q4N7,ARI1A_MOUSE;ARI1B_MOUSE,Arid1a;Arid1b,AT-rich interactive domain-containing protein 1A,13092.5,6918.24,11095.4,8103.25,10976.6,6539.46,10522.5,8640.16
A2BIM8;P02762;P04938,P02762;P04938;B5X0G2;A2BIM8,MUP11_MOUSE;MUP18_MOUSE;MUP6_MOUSE,Mup11;Mup18;Mup6,Major urinary protein 18,,,17132.3,21072,,27802.6,22768.9,19383.3
A2BIM8;P02762;P04938;P11589,P02762;P04938;P11588;P11589;B5X0G2;A2BIM8,MUP11_MOUSE;MUP18_MOUSE;MUP2_MOUSE;MUP6_MOUSE,Mup11;Mup18;Mup2;Mup6,Major urinary protein 18,142572,146645,127763,132337,172074,120506,152293,151519
A2CG49,A2CG49,KALRN_MOUSE,Kalrn,Kalirin,29150.3,34820.5,27615.2,31639.8,31556.1,33369.4,32741.8,29012.6
A2CG63,A2CG63,ARI4B_MOUSE,Arid4b,AT-rich interactive domain-containing protein 4B,7749.44,,,9211.94,3692.58,4184.6,7429.51,12177.3
A2RSJ4,A2RSJ4,BLT3B_MOUSE,Bltp3b,Bridge-like lipid transfer protein family member 3B,76854.9,78072.5,75411.3,77953.4,80189.7,80151,77081.6,74232.7
A2RSQ0,A2RSQ0,DEN5B_MOUSE,Dennd5b,DENN domain-containing protein 5B,57663.3,62637.5,57609.5,63022,61002.1,58372.1,63227.6,65752
A2RSQ0;Q6PAL8,Q6PAL8;A2RSQ0,DEN5A_MOUSE;DEN5B_MOUSE,Dennd5a;Dennd5b,DENN domain-containing protein 5B,12194.3,16597.2,15858.8,11559.9,14188.5,12807.9,18844.9,20018.3
A2RSX7,A2RSX7,TYW5_MOUSE,Tyw5,tRNA wybutosine-synthesizing protein 5,27327.4,30160.8,33957,26619.2,26561.6,24771.7,28325.9,28699.6
A2RSY1,A2RSY1,KANL3_MOUSE,Kansl3,KAT8 regulatory NSL complex subunit 3,4164.46,5219.68,6279.17,6397.03,4798.71,6344.28,9182.4,6649.71
A2RSY6,A2RSY6,TRM1L_MOUSE,Trmt1l,TRMT1-like protein,45722.8,42970.5,43075.3,42237.6,47304.1,43995.3,42757.7,45587.7
A2RT67,A2RT67,DEND3_MOUSE,Dennd3,DENN domain-containing protein 3,,,,,,14306.4,,16568.5
A2RTL5,A2RTL5,RSRC2_MOUSE,Rsrc2,Arginine/serine-rich coiled-coil protein 2,50690.7,47443.8,47657.9,38321.5,41712.3,64767.6,51621.7,37680.6
A3KGB4,A3KGB4,TBC8B_MOUSE,Tbc1d8b,TBC1 domain family member 8B,87126.4,81578.6,79994.5,78912.5,82295.1,79981.1,87370.5,86674.6
A3KGS3,A3KGS3,RGPA2_MOUSE,Ralgapa2,Ral GTPase-activating protein subunit alpha-2,23703.4,25756.4,24997.8,28985.3,22310.5,21728.6,26312.6,25127.6
A3KGS3;P61255,A3KGS3;P61255,RGPA2_MOUSE;RL26_MOUSE,Ralgapa2;Rpl26,Ral GTPase-activating protein subunit alpha-2,35144.6,14353.1,52442.1,48849.5,16721.8,47735,32067.2,18796.9
A3KMP2,A3KMP2,TTC38_MOUSE,Ttc38,Tetratricopeptide repeat protein 38,1.86E+06,1.76E+06,1.90E+06,1.84E+06,1.71E+06,1.51E+06,1.77E+06,1.62E+06
A4FUP9,A4FUP9,GL1D1_MOUSE,Glt1d1,Glycosyltransferase 1 domain-containing protein 1,62030.3,48984.8,58738.3,58576.3,49034.9,62868.3,56840.2,61265.9
A4Q9E8,A4Q9E8,TTLL6_MOUSE,Ttll6,Tubulin polyglutamylase TTLL6,69627.6,23141.2,45716.3,41183.6,55719.2,27664.8,59386.2,37709.1
A4UUI3,A4UUI3,GBP4_MOUSE,Gbp4,Guanylate-binding protein 4,10225.4,12295.1,10598.2,14990.8,,17632.2,12488.9,10603.1
A4UUI3;Q8CGK3,A4UUI3;Q8CGK3,GBP4_MOUSE;LONM_MOUSE,Gbp4;Lonp1,Guanylate-binding protein 4,7536.26,,11255.9,9973.96,,22363.1,10532.6,15144.1
A6H5X4,A6H5X4,PHF11_MOUSE,Phf11,PHD finger protein 11,18147.7,22259.7,19465.5,21058.9,13026.7,22342,18685.2,20832.3
A6H5Y3,A6H5Y3,METH_MOUSE,Mtr,Methionine synthase,59716.6,53447.7,67480.6,57177.8,62819.9,58172.7,59047.4,61551.5
A6H5Z3,A6H5Z3,EXC6B_MOUSE,Exoc6b,Exocyst complex component 6B,17535.5,14594.3,19321.3,13858.9,14723.6,15637.4,17113.4,11199.1
A6H5Z3;Q8R313,Q8R313;A6H5Z3,EXC6B_MOUSE;EXOC6_MOUSE,Exoc6;Exoc6b,Exocyst complex component 6B,15208.3,15607.3,11829.2,13159.5,11786.8,10707.1,,12131.6
A6H611,A6H611,MIPEP_MOUSE,Mipep,Mitochondrial intermediate peptidase,153526,162487,173792,186168,177159,184599,185116,185980
A6H630,A6H630,ARMT1_MOUSE,Armt1,Damage-control phosphatase ARMT1,111350,105422,110651,112168,99329.8,99741.1,90875.3,110178
A6H6A9,A6H6A9,RBG1L_MOUSE,Rabgap1l,Rab GTPase-activating protein 1-like,41206,42630.9,42433.1,37724.8,34934.9,39000.2,40303.7,41189.6
A6H6E2,A6H6E2,MMRN2_MOUSE,Mmrn2,Multimerin-2,51339.6,68560.7,52790.3,64715.8,79841.6,52022.3,61770.1,92649
A6H8H2,A6H8H2,DEN4C_MOUSE,Dennd4c,DENN domain-containing protein 4C,60415,63060,64577,62362.7,62491.5,57111.3,67514.3,64666.3
A6X8Z5,A6X8Z5,RHG31_MOUSE,Arhgap31,Rho GTPase-activating protein 31,17834.7,16743.4,17265.4,17160.7,14954.7,15456,20622.1,20291.3
A6X919,A6X919,D19L1_MOUSE,Dpy19l1,Probable C-mannosyltransferase DPY19L1,157300,154503,162958,149231,163617,155903,220734,178497
A6X935,A6X935,ITIH4_MOUSE,Itih4,"Inter alpha-trypsin inhibitor, heavy chain 4",388108,389113,419018,400414,387408,444032,409888,418398
A7MCT6,A7MCT6,EKI2_MOUSE,Etnk2,Ethanolamine kinase 2,283089,250786,295348,292119,256481,306176,304812,273676
A7TZF3,A7TZF3,SKIT4_MOUSE,Skint4,Selection and upkeep of intraepithelial T-cells protein 4,,1416.61,,,,,,
A8C756,A8C756,THADA_MOUSE,Thada,tRNA (32-2'-O)-methyltransferase regulator THADA,14601.2,14419.6,16223,10929.8,11008.6,13303.5,13631.1,12931.8
A9JSM3,A9JSM3,TM238_MOUSE,Tmem238,Transmembrane protein 238,37534.1,43628.3,39981.2,39112,46373.3,41857.7,42448.6,45712
B1AR13,B1AR13,CISD3_MOUSE,Cisd3,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial",713043,719942,782428,835023,848902,874496,695951,869249
B1ARW8,B1ARW8,CA122_MOUSE,,Uncharacterized protein C1orf122 homolog,31976.8,37767.9,32274.5,30836.1,32774.8,26422.6,27322.9,24752.5
B1AUE5,B1AUE5,PEX10_MOUSE,Pex10,Peroxisome biogenesis factor 10,116159,117877,109387,101488,120036,113403,111621,116327
B1AUR6,B1AUR6,MMS22_MOUSE,Mms22l,Protein MMS22-like,43463.8,90667.2,43289.6,41277.3,56698.3,,46101.1,51113.7
B1AVY7,B1AVY7,KI16B_MOUSE,Kif16b,Kinesin-like protein KIF16B,10119.9,9120.25,8757.87,19750.7,12707.1,8573.12,11372.5,7257.59
B1AVZ0,B1AVZ0,UPP_MOUSE,Uprt,Uracil phosphoribosyltransferase homolog,18939,19654,21179.2,21429.3,24156.8,22549,18537.9,19857.2
B1AXP6,B1AXP6,TOM5_MOUSE,Tomm5,Mitochondrial import receptor subunit TOM5 homolog,71571.9,62765.6,55430.3,48601.7,83400.2,57583.8,71927.7,39991.7
B1AY10,B1AY10,NFX1_MOUSE,Nfx1,Transcriptional repressor NF-X1,16526.7,13690.1,14866.8,16033.2,18564.4,11887.9,20771.6,14680.8
B1AY13,B1AY13,UBP24_MOUSE,Usp24,Ubiquitin carboxyl-terminal hydrolase 24,85000.8,86584.5,91651.6,86470.5,84122.4,82979.2,89063.5,92618.5
B1AZA5,B1AZA5,TM245_MOUSE,Tmem245,Transmembrane protein 245,84806.2,81101.3,83587.9,83248.3,76336.2,79995.1,80649.4,75638
B1AZI6,B1AZI6,THOC2_MOUSE,Thoc2,THO complex subunit 2,161982,157807,144748,143492,134720,138279,155030,164754
B1AZP2,B1AZP2,DLGP4_MOUSE,Dlgap4,Disks large-associated protein 4,37919,38373.5,40355.8,41824.7,45430.3,41659.6,49181.2,40810.6
B2KF05,B2KF05,BRPF3_MOUSE,Brpf3,Bromodomain and PHD finger-containing protein 3,32681.9,32406.1,32685.1,30014.3,30019.3,32598.3,34445.9,30256.2
B2RQA1,B2RQA1,KCA10_MOUSE,Kcna10,Potassium voltage-gated channel subfamily A member 10,555925,821105,914590,,667207,389232,685723,1.10E+06
B2RQC6,B2RQC6,PYR1_MOUSE,Cad,CAD protein,139218,151625,146618,151071,148325,143313,145649,154580
B2RQC6;Q8C196,B2RQC6;Q8C196,CPSM_MOUSE;PYR1_MOUSE,Cad;Cps1,CAD protein,1.90E+07,2.60E+07,2.29E+07,2.67E+07,2.14E+07,1.59E+07,2.04E+07,2.73E+07
